moviecd,movienm,genrenm
20189281,폴란드로 간 아이들,다큐멘터리
20189281,폴란드로 간 아이들,드라마
20189331,리즈와 파랑새,애니메이션
20189362,업그레이드,액션
20189385,몬스터 파크,애니메이션
20189385,몬스터 파크,어드벤처
20189385,몬스터 파크,코미디
20189385,몬스터 파크,가족
20189385,몬스터 파크,판타지
20189462,셜록 놈즈,애니메이션
20189462,셜록 놈즈,코미디
20189463,주먹왕 랄프 2: 인터넷 속으로,애니메이션
20189463,주먹왕 랄프 2: 인터넷 속으로,어드벤처
20189463,주먹왕 랄프 2: 인터넷 속으로,코미디
20189463,주먹왕 랄프 2: 인터넷 속으로,가족
20189743,파이널 포트레이트,드라마
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,애니메이션
20189843,호두까기 인형과 4개의 왕국,판타지
20189843,호두까기 인형과 4개의 왕국,드라마
20189869,해피 투게더,드라마
20189869,해피 투게더,코미디
20190002,롱 샷,코미디
20190261,언더 더 씨2,애니메이션
20190270,나의 히어로 아카데미아 더 무비: 두 명의 히어로,애니메이션
20190273,천로역정: 천국을 찾아서,애니메이션
20190273,천로역정: 천국을 찾아서,어드벤처
20190466,세상을 바꾼 변호인,드라마
20190725,물의 기억,다큐멘터리
20190725,물의 기억,드라마
20190793,엘리펀트킹 덤보,애니메이션
20190793,엘리펀트킹 덤보,어드벤처
20190885,사탄의 인형,공포(호러)
20190923,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,애니메이션
20191141,시민 노무현,다큐멘터리
20191342,폴라로이드,공포(호러)
20191401,업사이드,코미디
20191401,업사이드,드라마
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,애니메이션
20191781,북클럽,코미디
20191844,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,애니메이션
20191845,난폭한 기록,범죄
20191845,난폭한 기록,액션
20192001,피터팬: 후크 선장과 결투의 날,애니메이션
20192001,피터팬: 후크 선장과 결투의 날,어드벤처
20192022,마담 싸이코,공포(호러)
20192022,마담 싸이코,스릴러
20192151,미드소마,공포(호러)
20192222,사일런스,공포(호러)
20192222,사일런스,스릴러
20192591,BIFAN2019 판타스틱 단편 걸작선 1,기타
20192689,별의 정원,애니메이션
20192689,별의 정원,판타지
20192725,명탐정 코난: 감청의 권,애니메이션
20195743,신데렐라:마법 반지의 비밀,애니메이션
20195743,신데렐라:마법 반지의 비밀,판타지
20195789,빠삐용,범죄
20195789,빠삐용,드라마
20195790,콜드 워,멜로/로맨스
20195791,어쩌다, 결혼,멜로/로맨스
20195791,어쩌다, 결혼,코미디
20195915,해피 데스데이 2 유,공포(호러)
20195915,해피 데스데이 2 유,코미디
20195943,브라더 오브 더 이어,코미디
20195984,드래곤볼 슈퍼: 브로리,애니메이션
20196025,덤보,가족
20196025,덤보,판타지
20196244,샤잠!,액션
20196263,챔피언스,코미디
20196263,챔피언스,드라마
20196309,스파이더맨: 파 프롬 홈,액션
20196309,스파이더맨: 파 프롬 홈,어드벤처
20196309,스파이더맨: 파 프롬 홈,코미디
20196309,스파이더맨: 파 프롬 홈,SF
20196323,더 와이프,드라마
20196404,신밧드와 마법 양탄자,애니메이션
20196404,신밧드와 마법 양탄자,어드벤처
20196585,슈퍼미니 2,애니메이션
20196585,슈퍼미니 2,어드벤처
20196585,슈퍼미니 2,드라마
20196601,항거:유관순 이야기,드라마
20196655,존 윅 3: 파라벨룸,액션
20196655,존 윅 3: 파라벨룸,범죄
20196655,존 윅 3: 파라벨룸,스릴러
20196657,맨 인 블랙: 인터내셔널,액션
20196657,맨 인 블랙: 인터내셔널,코미디
20196657,맨 인 블랙: 인터내셔널,SF
20196723,숲속왕국의 꿀벌 여왕,애니메이션
20196723,숲속왕국의 꿀벌 여왕,어드벤처
20196723,숲속왕국의 꿀벌 여왕,코미디
20196820,양지의 그녀,멜로/로맨스
20196820,양지의 그녀,드라마
20197092,로망,멜로/로맨스
20197147,어글리 돌,애니메이션
20197283,이스케이프 룸,액션
20197283,이스케이프 룸,공포(호러)
20197283,이스케이프 룸,스릴러
20197356,라스트 미션,드라마
20197423,공포의 묘지,공포(호러)
20197423,공포의 묘지,스릴러
20197483,1919 유관순,다큐멘터리
20197503,서스페리아,공포(호러)
20197552,출동! 도토리 구조대,애니메이션
20197617,정글북: 마법 원정대,애니메이션
20197617,정글북: 마법 원정대,어드벤처
20197617,정글북: 마법 원정대,판타지
20197723,킹 오브 프리즘 -샤이니 세븐 스타즈-,애니메이션
20197783,철벽선생,멜로/로맨스
20197846,악질경찰,범죄
20197846,악질경찰,드라마
20197987,더 길티,스릴러
20198023,고릴라와 슈퍼레이스,애니메이션
20198043,아픈 만큼 사랑한다,다큐멘터리
20198104,바이스,드라마
20198146,콜레트,드라마
20198183,뽀로로 극장판 보물섬 대모험,애니메이션
20198183,뽀로로 극장판 보물섬 대모험,가족
20198291,로켓맨,드라마
20198291,로켓맨,판타지
20198323,레드슈즈,애니메이션
20198323,레드슈즈,코미디
20198323,레드슈즈,판타지
20198323,레드슈즈,어드벤처
20198323,레드슈즈,멜로/로맨스
20198403,파이브 피트,드라마
20198403,파이브 피트,멜로/로맨스
20198453,롱 리브 더 킹: 목포 영웅,액션
20198453,롱 리브 더 킹: 목포 영웅,드라마
20198526,쓰리 세컨즈,드라마
20198597,교회오빠,다큐멘터리
20198598,명탐정 피카츄,액션
20198598,명탐정 피카츄,어드벤처
20198598,명탐정 피카츄,코미디
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,애니메이션
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,액션
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,판타지
20198844,아이 엠 마더,액션
20198844,아이 엠 마더,드라마
20198844,아이 엠 마더,스릴러
20198912,노무현과 바보들,다큐멘터리
20198982,크게 될 놈,드라마
20199063,빅샤크2: 해저2만리,애니메이션
20199063,빅샤크2: 해저2만리,어드벤처
20199189,미스 스티븐스,드라마
20199448,어린 의뢰인,드라마
20199448,어린 의뢰인,가족
20199623,고양이 여행 리포트,드라마
20199736,프렌즈: 둥지탈출,애니메이션
20199736,프렌즈: 둥지탈출,어드벤처
20199736,프렌즈: 둥지탈출,코미디
20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,애니메이션
20199822,더 보이,공포(호러)
20199822,더 보이,SF
20199923,라플라스의 마녀,미스터리
20199923,라플라스의 마녀,스릴러
20199949,벤 이즈 백,드라마
20199951,애나벨 집으로,공포(호러)
20199951,애나벨 집으로,미스터리
20199951,애나벨 집으로,스릴러
20199954,해피타임 스파이,코미디
20199954,해피타임 스파이,범죄
20199954,해피타임 스파이,미스터리
